"Mousenberg"	Translation	Positive	Negative	EmotionRationale
"Pseudo and seeds"	"Pseudo and seeds"	1	-1	 Pseudo[0] and[0] seeds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Please subscribe to the official Ironmouse Clip channel herehttps://www.youtube.com/channel/UCF3yjqc-HcchI9IfptJr9Yw"	"Please subscribe to the official Ironmouse Clip channel herehttps://w.<br>youtube.<br>com/channel/UCF3yjqc-HcchI9IfptJr9Yw"	3	-1	 Please[2] subscribe[0] to[0] the[0] official[0] Ironmouse[0] Clip[0] channel[0] herehttps[0] ://www/://w[0] [[Sentence=-1,3=word max, 1-5]] youtube[0] [[Sentence=-1,1=word max, 1-5]] com/channel/UCF3yjqc[0] HcchI9IfptJr9Yw[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"@Ryme_VT i see ..."	"@Ryme_VT i see .	1	-1	 "@Ryme_VT[0] i[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"need a clean drug house"	"need a clean drug house"	1	-1	 need[0] a[0] clean[0] drug[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"we need that barn asap"	"we need that barn asap"	1	-1	 we[0] need[0] that[0] barn[0] asap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"why not sell him the jars for the price of four instead of five?"	"why not sell him the jars for the price of four instead of five?	1	-1	 why[0] not[0] sell[0] him[0] the[0] jars[0] for[0] the[0] price[0] of[0] four[0] instead[0] of[0] five[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"nice fedora mija"	"nice fedora mija"	3	-1	 nice[2] fedora[0] mija[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Mousey getting good at the packager!"	"Mousey getting good at the packager!	3	-1	 Mousey[0] getting[0] good[2] at[0] the[0] packager[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
"Hammur :3"	"Hammur :3"	1	-1	 Hammur[0] :3[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"grassy ass"	"grassy ass"	1	-2	 grassy[0] ass[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"nice fake mustache too"	"nice fake mustache too"	3	-2	 nice[2] fake[-1] mustache[0] too[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
"grassy ass"	"grassy ass"	1	-2	 grassy[0] ass[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"grassy ass"	"grassy ass"	1	-2	 grassy[0] ass[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"l"	"l"	1	-1	 l[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"ahahahah"	"haha"	2	-1	 ahahahah/haha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Dwho says that"	"Dwho says that"	1	-1	 Dwho[0] says[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"surebud"	"surebud"	1	-1	 surebud[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"it is"	"it is"	1	-1	 it[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"thats the realest"	"thats the realest"	1	-1	 thats[0] the[0] realest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Fake ass"	"Fake ass"	1	-2	 Fake[-1] ass[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"it's true i saw her grow it"	"it's true i saw her grow it"	2	-1	 it's[0] true[1] i[0] saw[0] her[0] grow[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"ITS FAKE"	"ITS FAKE"	1	-2	 ITS[0] FAKE[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"Mouse double the price cause of inflation"	"Mouse double the price cause of inflation"	1	-2	 Mouse[0] double[0] the[0] price[0] cause[0] of[0] inflation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"RIGHT RIGHT"	"RIGHT RIGHT"	1	-1	 RIGHT[0] RIGHT[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"D:"	"D:	1	-1	 D[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"ReallyMad WHO SAID THAT"	"ReallyMad WHO SAID THAT"	1	-1	 ReallyMad[0] WHO[0] SAID[0] THAT[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"I believe you, mouse"	"I believe you, mouse"	1	-1	 I[0] believe[0] you[0] mouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Chat why she always yell at us"	"Chat why she always yell at us"	1	-1	 Chat[0] why[0] she[0] always[0] yell[0] at[0] us[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"its a magnificent mustache"	"its a magnificent mustache"	4	-1	 its[0] a[0] magnificent[3] mustache[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
"Mousenberg"	"Mousenberg"	1	-1	 Mousenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"smh hater"	"smh hater"	1	-4	 smh[0] hater[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
"As real as your hair"	"As real as your hair"	1	-1	 As[0] real[0] as[0] your[0] hair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"does it make ur nose itch?"	"does it make you are nose itch?	1	-2	 does[0] it[0] make[0] ur[0] nose[0] itch[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"its REALly fake"	"its REALly fake"	1	-3	 its[0] REALly[0] fake[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"it's a real mustache , it's just not home grown"	"it's a real mustache , it's just not home grown"	1	-1	 it's[0] a[0] real[0] mustache[0] it's[0] just[0] not[0] home[0] grown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"FROUD"	"FROUD"	1	-1	 FROUD[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"prove it"	"prove it"	1	-1	 prove[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"strawberry milk mustache Mousenberg"	"strawberry milk mustache Mousenberg"	1	-1	 strawberry[0] milk[0] mustache[0] Mousenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Mousenberg is real"	"Mousenberg is real"	1	-1	 Mousenberg[0] is[0] real[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Mousenberg"	"Mousenberg"	1	-1	 Mousenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"the heisenberg hat is supposed to be a porkpie hat though"	"the heisenberg hat is supposed to be a porkpie hat though"	1	-1	 the[0] heisenberg[0] hat[0] is[0] supposed[0] to[0] be[0] a[0] porkpie[0] hat[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Mousenberg"	"Mousenberg"	1	-1	 Mousenberg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Mustaches dont wiggle.... or have a flat color"	"Mustaches dont wiggle.<br> or have a flat color"	1	-1	 Mustaches[0] dont[0] wiggle[0] [[Sentence=-1,1=word max, 1-5]] or[0] have[0] a[0] flat[0] color[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"stache gate"	"stache gate"	1	-1	 stache[0] gate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"All these haters up in here"	"All these haters up in here"	1	-4	 All[0] these[0] haters[-3] up[0] in[0] here[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
"so its mouseys twist"	"so its mouseys twist"	1	-1	 so[0] its[0] mouseys[0] twist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Never thought I'd hear lo-fi Gerudo Valley"	"Never thought I'd hear lo-fi Gerudo Valley"	1	-1	 Never[0] thought[0] I'd[0] hear[0] lo[0] fi[0] Gerudo[0] Valley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"NEW clothing & lingerie collection with Moeflavor available now! https://moeflavor.com/collections/demon-queen   International https://intl.moeflavor.com/collections/demon-queen"	"NEW clothing & lingerie collection with Moeflavor available now!<br> https://moeflavor.<br>com/collections/demon-queen   International https://intl.<br>moeflavor.<br>com/collections/demon-queen"	1	-1	 NEW[0] clothing[0] &[0] lingerie[0] collection[0] with[0] Moeflavor[0] available[0] now[0] [[Sentence=-1,1=word max, 1-5]] https[0] ://moeflavor[0] [[Sentence=-1,1=word max, 1-5]] com/collections/demon[0] queen[0] International[0] https[0] ://intl[0] [[Sentence=-1,1=word max, 1-5]] moeflavor[0] [[Sentence=-1,1=word max, 1-5]] com/collections/demon[0] queen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"chat is just jealous they can't get it as full as yours"	"chat is just jealous they can't get it as full as yours"	1	-2	 chat[0] is[0] just[0] jealous[-2][--1 LastWordBoosterStrength] they[0] can't[0] get[0] it[0] as[0] full[0] as[0] yours[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"Ironmouse is real, she can and will hurt you."	"Ironmouse is real, she can and will hurt you.	1	-3	 Ironmouse[0] is[0] real[0] she[0] can[0] and[0] will[0] hurt[-2] you[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"legit its better then one i can grow..."	"legit its better then one i can grow.	2	-1	 legit[0] its[0] better[1] then[0] one[0] i[0] can[0] grow[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"Mousenburg LOL"	"Mousenburg LOL"	2	-1	 Mousenburg[0] LOL[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
"no controller?"	"no controller?	1	-1	 no[0] controller[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"I have the obligation to believe it's fake"	"I have the obligation to believe it's fake"	1	-2	 I[0] have[0] the[0] obligation[0] to[0] believe[0] it's[0] fake[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"so much CACA"	"so much CACA"	1	-1	 so[0] much[0] CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Stach mouse"	"Stach mouse"	1	-1	 Stach[0] mouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Plushie Mousey will come after all the haters"	"Plushie Mousey will come after all the haters"	1	-4	 Plushie[0] Mousey[0] will[0] come[0] after[0] all[0] the[0] haters[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
"CACA"	"CACA"	1	-1	 CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"CACA"	"CACA"	1	-1	 CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"If you would like to support ironmouse donations are not required but greatly appreciatedhttps://streamelements.com/ironmouse/tip"	"If you would like to support ironmouse donations are not required but greatly appreciatedhttps://streamelements.<br>com/ironmouse/tip"	3	-1	 If[0] you[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] support[1] ironmouse[0] donations[0] are[0] not[0] required[0] but[0] greatly[2] appreciatedhttps[1] ://streamelements[0] [[Sentence=-1,3=word max, 1-5]] com/ironmouse/tip[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
"CACA"	"CACA"	1	-1	 CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"CACA"	"CACA"	1	-1	 CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"CACA Clap"	"CACA Clap"	1	-1	 CACA[0] Clap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"CACA"	"CACA"	1	-1	 CACA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"How can you fake a stache like that huh? Its not like they sell pre made ones or anything."	"How can you fake a stache like that huh?<br> Its not like they sell pre made ones or anything.	2	-2	 How[0] can[0] you[0] fake[-1] a[0] stache[0] like[1] that[0] huh[0] [[Sentence=-2,2=word max, 1-5]] Its[0] not[0] like[1][NegatedDueToPreviousWord] they[0] sell[0] pre[0] made[0] ones[0] or[0] anything[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
"To be honest with u that moustache looks like a pink band-aid"	"To be honest with you that moustache looks like a pink band-aid"	2	-2	 To[0] be[0] honest[0] with[0] u[0] that[0] moustache[0] looks[0] like[1] a[0] pink[0] band[0] aid[1] [[Sentence=-1,2=word max, 1-5]] [[changed to -2 due to idiom]][[[2,-2 max of sentences]]]
"om"	"om"	1	-1	 om[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"om"	"om"	1	-1	 om[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"om"	"om"	1	-1	 om[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"om"	"om"	1	-1	 om[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Other than emotes during wait time or down time, if you continuously post the same message several times over, it is considered spam, and you will be timed out! if we have to time you out repeatedly, you will be banned."	"Other than emotes during wait time or down time, if you continuously post the same message several times over, it is considered spam, and you will be timed out!<br> if we have to time you out repeatedly, you will be banned.	1	-2	 Other[0] than[0] emotes[0] during[0] wait[0] time[0] or[0] down[0] time[0] if[0] you[0] continuously[0] post[0] the[0] same[0] message[0] several[0] times[0] over[0] it[0] is[0] considered[0] spam[-1] and[0] you[0] will[0] be[0] timed[0] out[0] [[Sentence=-2,1=word max, 1-5]] if[0] we[0] have[0] to[0] time[0] you[0] out[0] repeatedly[0] you[0] will[0] be[0] banned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
"om"	"om"	1	-1	 om[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"how dare she"	"how dare she"	1	-1	 how[0] dare[0] she[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Ligma"	"Ligma"	1	-1	 Ligma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Jackin the prices too high"	"Jackin the prices too high"	1	-1	 Jackin[0] the[0] prices[0] too[0] high[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Where is link for plushie?"	"Where is link for plushie?	1	-1	 Where[0] is[0] link[0] for[0] plushie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"What Bao fan named it DENT"	"What Bao fan named it DENT"	1	-2	 What[0] Bao[0] fan[0] named[0] it[0] DENT[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"I bet it's using that dollar store clear tape to hold it on"	"I bet it's using that dollar store clear tape to hold it on"	1	-1	 I[0] bet[0] it's[0] using[0] that[0] dollar[0] store[0] clear[0] tape[0] to[0] hold[0] it[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"!plush"	"<br>plush"	1	-1	[+0.6 EmphasisInPunctuation] plush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Baldge"	"Baldge"	1	-1	 Baldge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"just mix it all up"	"just mix it all up"	1	-1	 just[0] mix[0] it[0] all[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Baldge"	"Baldge"	1	-1	 Baldge[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Where's iron, who the hell is that?"	"Where's iron, who the hell is that?	1	-2	 Where's[0] iron[0] who[0] the[0] hell[-1] is[0] that[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
"Thats not the right plush"	"Thats not the right plush"	1	-1	 Thats[0] not[0] the[0] right[0] plush[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"the tea alarm?"	"the tea alarm?	1	-3	 the[0] tea[0] alarm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
"Asmon juice"	"Asmon juice"	1	-1	 Asmon[0] juice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"@stognu it's named after dent-san a unofficial mascot of the precious family"	"@stognu it's named after dent-san a unofficial mascot of the precious family"	3	-2	 "@stognu[0] it's[0] named[0] after[0] dent[-1] san[0] a[0] unofficial[0] mascot[0] of[0] the[0] precious[2] family[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
"NUTS"	"NUTS"	1	-1	 NUTS[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"BALLS"	"BALLS"	1	-1	 BALLS[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"turn the van around so u dont have to go in the road"	"turn the van around so you dont have to go in the road"	1	-1	 turn[0] the[0] van[0] around[0] so[0] u[0] dont[0] have[0] to[0] go[0] in[0] the[0] road[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"GOD"	"GOD"	1	-1	 GOD[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
"Praise Dent-san"	"Praise Dent-san"	3	-2	 Praise[2] Dent[-1] san[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
